label,num_vert,max_degree,max_indegree,max_values,nodes,method,kind,query_type,filename,target,observed,barren,interval_result,time
vs_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve_ch10,sing,cond,./networks/vmodel/vmodel-sing_n5_mID4_mD6_mV4_nV2-1.uai,0,4,0,0.3577567679041628 0.9417242228228091 0.05827577717719084 0.6422432320958372,310.0
vm_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve_ch10,mult,marg,./networks/vmodel/vmodel-mult_n5_mID4_mD6_mV4_nV2-1.uai,4,,0,0.23667960871239205 0.6366312303156401 0.36336876968436 0.763320391287608,97.0
vm_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve_ch10,mult,cond,./networks/vmodel/vmodel-mult_n5_mID4_mD6_mV4_nV2-1.uai,0,4,0,0.061351007941029725 0.4094788580219491 0.008993056186158891 0.06927884727443516 0.004264433073257283 0.078671003064488 0.5175217220755404 0.8949576080498903,9869.0
vs_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve_ch5,sing,marg,./networks/vmodel/vmodel-sing_n5_mID4_mD6_mV4_nV2-1.uai,4,,0,0.1361511948043293 0.49559704280973477 0.09347461765702003 0.7375596969153794 0.0328790951937535 0.19262696769572576 0.0469292353109813 0.40438187546984117,138.0
vs_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve_ch5,sing,cond,./networks/vmodel/vmodel-sing_n5_mID4_mD6_mV4_nV2-1.uai,0,4,0,0.34864605880789157 0.9409769965532141 0.05902300344678599 0.6513539411921084,299.0
vm_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve_ch5,mult,marg,./networks/vmodel/vmodel-mult_n5_mID4_mD6_mV4_nV2-1.uai,4,,0,0.23667960871239205 0.6366312303156401 0.36336876968436 0.763320391287608,94.0
vm_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve_ch5,mult,cond,./networks/vmodel/vmodel-mult_n5_mID4_mD6_mV4_nV2-1.uai,0,4,0,0.061395851579257046 0.4094635095861626 0.025221564384904683 0.050150727133825374 0.01267361853306233 0.04425007293984817 0.5279498502302588 0.885481929011174,9058.0
vs_n6_mID4_mD6_mV4_nV2-1,2,6,4,4,6,cve_ch10,sing,marg,./networks/vmodel/vmodel-sing_n6_mID4_mD6_mV4_nV2-1.uai,5,,0,0.16277912623033847 0.6378750859386135 0.07969119666556869 0.6395762769490799 0.12695510438730273 0.4026195766956292,177.0
vs_n6_mID4_mD6_mV4_nV2-1,2,6,4,4,6,cve_ch10,sing,cond,./networks/vmodel/vmodel-sing_n6_mID4_mD6_mV4_nV2-1.uai,0,5,0,0.07589237392653193 0.19410859064656955 0.33082731025539625 0.3339772420577116 0.47277212009605407 0.5931053164215369,432.0
vm_n6_mID4_mD6_mV4_nV2-1,2,6,4,4,6,cve_ch10,mult,marg,./networks/vmodel/vmodel-mult_n6_mID4_mD6_mV4_nV2-1.uai,3,,2,,
