label,num_vert,max_degree,max_indegree,max_values,nodes,method,kind,query_type,filename,target,observed,barren,interval_result,time
vs_n7_mID6_mD6_mV4_nV2-1,2,6,6,4,7,cve,sing,cond,./networks/vmodel/vmodel-sing_n7_mID6_mD6_mV4_nV2-1.uai,0,6,0,0.5065847028103537 0.6480546004219262 0.35194539957807375 0.4934152971896464,3355.0
vm_n7_mID6_mD6_mV4_nV2-1,2,6,6,4,7,cve,mult,marg,./networks/vmodel/vmodel-mult_n7_mID6_mD6_mV4_nV2-1.uai,6,,2,,
vm_n7_mID6_mD6_mV4_nV2-1,2,6,6,4,7,cve,mult,cond,./networks/vmodel/vmodel-mult_n7_mID6_mD6_mV4_nV2-1.uai,1,6 4 0,0,,
vs_n8_mID6_mD6_mV4_nV2-1,2,6,6,4,8,cve,sing,marg,./networks/vmodel/vmodel-sing_n8_mID6_mD6_mV4_nV2-1.uai,7,,0,0.12397865369160642 0.4207452584799566 0.09130152894344022 0.7775046742382257 0.07537751617815279 0.6714518786740294,5723.0
vs_n8_mID6_mD6_mV4_nV2-1,2,6,6,4,8,cve,sing,cond,./networks/vmodel/vmodel-sing_n8_mID6_mD6_mV4_nV2-1.uai,0,7,0,0.05999836783866511 0.13649236216715466 0.07520209378138336 0.12286354164095409 0.042011735061096664 0.5650560154187836 0.20884654005716197 0.8192427132929226,16558.0
vm_n8_mID6_mD6_mV4_nV2-1,2,6,6,4,8,cve,mult,marg,./networks/vmodel/vmodel-mult_n8_mID6_mD6_mV4_nV2-1.uai,3,,4,0.21493409757999998 0.79920723512 0.20079276488000003 0.78506590242,8748.0
vm_n8_mID6_mD6_mV4_nV2-1,2,6,6,4,8,cve,mult,cond,./networks/vmodel/vmodel-mult_n8_mID6_mD6_mV4_nV2-1.uai,1,7 6 3,0,,
vs_n9_mID6_mD6_mV4_nV2-1,2,6,6,4,9,cve,sing,marg,./networks/vmodel/vmodel-sing_n9_mID6_mD6_mV4_nV2-1.uai,8,,0,0.04662697197140242 0.8297008234741142 0.034934078695551894 0.22608348454388955 0.026841826061167855 0.20357190567324077 0.02985104015623021 0.7818824147689653,1381.0
vs_n9_mID6_mD6_mV4_nV2-1,2,6,6,4,9,cve,sing,cond,./networks/vmodel/vmodel-sing_n9_mID6_mD6_mV4_nV2-1.uai,0,8,0,0.35812049649907624 0.5118181457312628 0.3709197086361146 0.6145112535501448 0.025702807740964537 0.1268711826288075,2530.0
vm_n9_mID6_mD6_mV4_nV2-1,2,6,6,4,9,cve,mult,marg,./networks/vmodel/vmodel-mult_n9_mID6_mD6_mV4_nV2-1.uai,1,,2,,
vm_n9_mID6_mD6_mV4_nV2-1,2,6,6,4,9,cve,mult,cond,./networks/vmodel/vmodel-mult_n9_mID6_mD6_mV4_nV2-1.uai,4,6 2 1,0,,
vs_n10_mID6_mD6_mV4_nV2-1,2,6,6,4,10,cve,sing,marg,./networks/vmodel/vmodel-sing_n10_mID6_mD6_mV4_nV2-1.uai,9,,0,0.47257330042018253 0.8897423099666956 0.11025769003330438 0.5274266995798175,270032.0
vs_n10_mID6_mD6_mV4_nV2-1,2,6,6,4,10,cve,sing,cond,./networks/vmodel/vmodel-sing_n10_mID6_mD6_mV4_nV2-1.uai,0,9,0,,
vm_n10_mID6_mD6_mV4_nV2-1,2,6,6,4,10,cve,mult,marg,./networks/vmodel/vmodel-mult_n10_mID6_mD6_mV4_nV2-1.uai,0,,4,,
vm_n10_mID6_mD6_mV4_nV2-1,2,6,6,4,10,cve,mult,cond,./networks/vmodel/vmodel-mult_n10_mID6_mD6_mV4_nV2-1.uai,3,8 6 0,0,,
vs_n4_mID2_mD6_mV4_nV4-1,4,6,2,4,4,cve,sing,marg,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV4-1.uai,3,,0,0.020474433986000004 0.5962191198079999 0.40378088019200004 0.9795255660140002,173.0
vs_n4_mID2_mD6_mV4_nV4-1,4,6,2,4,4,cve,sing,cond,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV4-1.uai,0,3,0,0.010658368965991724 0.9162321172536735 0.0026479426832790925 0.9883755067666951 0.00022211887949629455 0.9388978618429978 0.0007038124951597892 0.7350192678451443,241.0
vm_n4_mID2_mD6_mV4_nV4-1,4,6,2,4,4,cve,mult,marg,./networks/vmodel/vmodel-mult_n4_mID2_mD6_mV4_nV4-1.uai,2,,0,,
vm_n4_mID2_mD6_mV4_nV4-1,4,6,2,4,4,cve,mult,cond,./networks/vmodel/vmodel-mult_n4_mID2_mD6_mV4_nV4-1.uai,0,2,0,,
vs_n5_mID2_mD6_mV4_nV4-1,4,6,2,4,5,cve,sing,marg,./networks/vmodel/vmodel-sing_n5_mID2_mD6_mV4_nV4-1.uai,4,,0,,
vs_n5_mID2_mD6_mV4_nV4-1,4,6,2,4,5,cve,sing,cond,./networks/vmodel/vmodel-sing_n5_mID2_mD6_mV4_nV4-1.uai,0,4,0,,
vm_n5_mID2_mD6_mV4_nV4-1,4,6,2,4,5,cve,mult,marg,./networks/vmodel/vmodel-mult_n5_mID2_mD6_mV4_nV4-1.uai,1,,2,0.013178754999999999 0.4617259600000001 0.005120872 0.51964064 0.06712477600000002 0.9162508060000001 0.0034946570000000004 0.655510922,74.0
vm_n5_mID2_mD6_mV4_nV4-1,4,6,2,4,5,cve,mult,cond,./networks/vmodel/vmodel-mult_n5_mID2_mD6_mV4_nV4-1.uai,0,2 1,0,,
vs_n6_mID2_mD6_mV4_nV4-1,4,6,2,4,6,cve,sing,marg,./networks/vmodel/vmodel-sing_n6_mID2_mD6_mV4_nV4-1.uai,5,,0,0.1152555648198401 0.7478498123657406 0.011741813094059871 0.34729188063171146 0.012607235383106883 0.36585417150005906 0.014354306586253182 0.6817866670445836,11213.0
vs_n6_mID2_mD6_mV4_nV4-1,4,6,2,4,6,cve,sing,cond,./networks/vmodel/vmodel-sing_n6_mID2_mD6_mV4_nV4-1.uai,0,5,0,0.0036096956089304846 0.26470943436737937 0.020437728061120267 0.7279239428346799 0.0017073696562856467 0.6051292399830799 0.08512879954246202 0.8693595798002886,33686.0
vm_n6_mID2_mD6_mV4_nV4-1,4,6,2,4,6,cve,mult,marg,./networks/vmodel/vmodel-mult_n6_mID2_mD6_mV4_nV4-1.uai,1,,3,0.02578793 0.817249127 0.045628467000000006 0.867834482 0.06291511200000001 0.843758255,342.0
vm_n6_mID2_mD6_mV4_nV4-1,4,6,2,4,6,cve,mult,cond,./networks/vmodel/vmodel-mult_n6_mID2_mD6_mV4_nV4-1.uai,2,4 1 0,0,,
vs_n7_mID2_mD6_mV4_nV4-1,4,6,2,4,7,cve,sing,marg,./networks/vmodel/vmodel-sing_n7_mID2_mD6_mV4_nV4-1.uai,6,,0,,
vs_n7_mID2_mD6_mV4_nV4-1,4,6,2,4,7,cve,sing,cond,./networks/vmodel/vmodel-sing_n7_mID2_mD6_mV4_nV4-1.uai,0,6,0,,
vm_n7_mID2_mD6_mV4_nV4-1,4,6,2,4,7,cve,mult,marg,./networks/vmodel/vmodel-mult_n7_mID2_mD6_mV4_nV4-1.uai,4,,1,,
vm_n7_mID2_mD6_mV4_nV4-1,4,6,2,4,7,cve,mult,cond,./networks/vmodel/vmodel-mult_n7_mID2_mD6_mV4_nV4-1.uai,2,4 1,0,,
vs_n8_mID2_mD6_mV4_nV4-1,4,6,2,4,8,cve,sing,marg,./networks/vmodel/vmodel-sing_n8_mID2_mD6_mV4_nV4-1.uai,7,,0,,
vs_n8_mID2_mD6_mV4_nV4-1,4,6,2,4,8,cve,sing,cond,./networks/vmodel/vmodel-sing_n8_mID2_mD6_mV4_nV4-1.uai,0,7,0,,
vm_n8_mID2_mD6_mV4_nV4-1,4,6,2,4,8,cve,mult,marg,./networks/vmodel/vmodel-mult_n8_mID2_mD6_mV4_nV4-1.uai,2,,4,,
vm_n8_mID2_mD6_mV4_nV4-1,4,6,2,4,8,cve,mult,cond,./networks/vmodel/vmodel-mult_n8_mID2_mD6_mV4_nV4-1.uai,1,5 4 2,0,,
vs_n9_mID2_mD6_mV4_nV4-1,4,6,2,4,9,cve,sing,marg,./networks/vmodel/vmodel-sing_n9_mID2_mD6_mV4_nV4-1.uai,8,,0,,
